Manoel, mɐnɔɛl, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Maqluba, mɐʔlʊbɐ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Marsalforn, mɐrsɐlfɔrn, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
M'Forn, mɐrsɐlfɔrn, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Marsamxett, mɐrsɐmʃɛtt, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Marsaxlokk, mɐrsɐʃlɔkk, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Mdina, mdɪnɐ, <UNK> <UNK> <UNK> <UNK> <UNK>
Mellieħa, mɛllɪhɐ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Mensija, mɛnsɪjɐ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Metsola, mɛtssɔlɐ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Mgarr, mgɐrr, <UNK> <UNK> <UNK> <UNK> <UNK>
Misraħ, mɪsrɐh, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Misraħ il-Maqluba, mɪsrɐh ɪlmɐʔlʊbɐ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Mnajdra, mnɐɪdrɐ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Mosta, mɔstɐ, <UNK> <UNK> <UNK> <UNK> <UNK>
Msida, msɪdɐ, <UNK> <UNK> <UNK> <UNK> <UNK>
MUŻA, mʊzɐ, <UNK> <UNK> <UNK> <UNK>
Nadur, nɐdʊr, <UNK> <UNK> <UNK> <UNK> <UNK>
Nar tal-ajru, nɐr tɐlɐɪrʊ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Naxxar, nɐʃʃɐr, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Palm Sunday, pɐlm sʌndeɪ , <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Predominant, prɪdɒmɪnənt, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
